Dimensi,R2 IID Desa
Akses perangkat (A),0.753952
Konektivitas internet (B),0.620376
Kapasitas manusia (C),0.534323
Penggunaan digital (D),0.385265
Lingkungan pendukung sosial (E),0.007812
