kategori_iid_rt,rentang_iid_rt,jumlah_warga,persentase_warga,total_warga
sangat rendah,"0,00-0,20",9340,0.029301,318764
rendah,">0,20-0,40",15272,0.04791,318764
sedang,">0,40-0,60",93602,0.29364,318764
tinggi,">0,60-0,80",167327,0.524924,318764
sangat tinggi,">0,80-1,00",33183,0.104099,318764
tanpa skor IID-RT,RT tidak valid/tidak diberi skor,40,0.000125,318764
