Dimensi,R2 IID Desa
Akses perangkat (A),0.747766
Konektivitas internet (B),0.62115
Kapasitas manusia (C),0.527911
Penggunaan digital (D),0.379213
Lingkungan pendukung sosial (E),0.010245
